Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
12-17 years,Male,Student,2-4 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Watching videos/Movies']",Always,No,Rarely,No,Neutral,Not at all,Often,Good,Good,Not sure,Yes,['In-person counseling'],Yes,"['Immediate emotional support', 'Daily check-ins/mood tracking']",It's essential to promote mindfulness and relaxation techniques for better mental health outcomes in Gen Z.
23-27 years,Female,Student,4-6 hours,['Work/Professional tasks'],Often,Sometimes,Often,Yes,Neutral,Moderately,Always,Poor,Good,Yes,No,"['In-person counseling', 'AI-powered chatbots']",No,"['Daily check-ins/mood tracking', 'Immediate emotional support']",We should create safe spaces for Gen Z to share experiences to ensure Gen Z has access to mental health apps.
17-23 years,Female,Student,2-4 hours,['Gaming'],Sometimes,Yes,Always,No,Very uncomfortable,Not at all,Sometimes,Very poor,Poor,Yes,No,"['Support groups', 'In-person counseling']",Maybe,"['Other (please specify)', 'Daily check-ins/mood tracking', 'Tips for managing digital device usage']",It's essential to implement mental health programs and workshops for better mental health outcomes in Gen Z.
27 years and above,Male,Unemployed,2-4 hours,"['Watching videos/Movies', 'Work/Professional tasks', 'Gaming']",Never,No,Always,No,Very comfortable,A lot,Always,Very poor,Average,Not sure,Yes,['In-person counseling'],Yes,"['Resources for mental health (articles, videos, etc.)']",encourage employers to provide mental health support and promote mental health awareness campaigns are crucial for enhancing mental health support for Gen Z.
27 years and above,Male,Employed,2-4 hours,['Studying/Educational purposes'],Often,Yes,Often,Sometimes,Very uncomfortable,Moderately,Rarely,Average,Poor,Yes,Yes,"['Support groups', 'Self-help resources (books, articles, videos)']",Maybe,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']","To improve mental health support for Gen Z, create more inclusive and diverse mental health resources in social media."
12-17 years,Female,Student,More than 6 hours,"['Studying/Educational purposes', 'Gaming', 'Work/Professional tasks']",Sometimes,No,Rarely,No,Neutral,Not at all,Rarely,Very good,Very Good,No,No,"['Online therapy sessions', 'Support groups']",No,['Other (please specify)'],Encouraging reduce the stigma associated with seeking mental health help among Gen Z can lead to improved access to support.
23-27 years,Male,Student,2-4 hours,['Studying/Educational purposes'],Never,Sometimes,Sometimes,Sometimes,Very uncomfortable,Significantly,Always,Good,Good,Not sure,No,['Support groups'],Yes,['Immediate emotional support'],increase mental health awareness can greatly benefit the mental health of Gen Z.
23-27 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Sometimes,Sometimes,Often,Sometimes,Very comfortable,Moderately,Often,Average,Good,Not sure,Yes,['Other (please specify)'],No,"['Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']",integrate mental health education into the school curriculum and create supportive community environments are crucial for enhancing mental health support for Gen Z.
Under 12 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Often,Yes,Sometimes,Sometimes,Very comfortable,A little,Often,Poor,Good,Not sure,No,"['In-person counseling', 'AI-powered chatbots']",Yes,"['Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",It's essential to encourage physical activities and hobbies for better mental health outcomes in Gen Z.
23-27 years,Female,Employed,More than 6 hours,"['Gaming', 'Work/Professional tasks', 'Studying/Educational purposes']",Rarely,No,Always,No,Somewhat comfortable,Significantly,Never,Average,Average,No,Yes,"['Support groups', 'AI-powered chatbots']",Maybe,"['Daily check-ins/mood tracking', 'Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",encourage employers to provide mental health support can greatly benefit the mental health of Gen Z.
23-27 years,Male,Student,4-6 hours,"['Gaming', 'Work/Professional tasks']",Sometimes,Yes,Often,No,Somewhat uncomfortable,A little,Sometimes,Good,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)']",Maybe,['Connection to professional help'],"To improve mental health support for Gen Z, improve access to online mental health resources in workplaces."
12-17 years,Female,Student,4-6 hours,['Work/Professional tasks'],Sometimes,Yes,Never,Sometimes,Somewhat uncomfortable,A lot,Rarely,Good,Very Good,Not sure,Yes,['Online therapy sessions'],Yes,['Immediate emotional support'],Supporting Gen Z's mental health requires increase mental health awareness and provide online and offline support groups.
Under 12 years,Female,Student,4-6 hours,['Gaming'],Sometimes,No,Rarely,No,Very uncomfortable,Moderately,Often,Good,Very Good,No,No,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Maybe,"['Other (please specify)', 'Connection to professional help', 'Tips for managing digital device usage']",Encouraging increase funding for mental health research among Gen Z can lead to greater awareness and education.
23-27 years,Male,Student,More than 6 hours,['Watching videos/Movies'],Rarely,Yes,Sometimes,No,Very uncomfortable,A little,Never,Good,Poor,No,No,"['In-person counseling', 'Other (please specify)']",No,"['Connection to professional help', 'Other (please specify)', 'Daily check-ins/mood tracking']",implement mental health programs and workshops and increase accessibility to mental health services are crucial for enhancing mental health support for Gen Z.
17-23 years,Female,Student,More than 6 hours,"['Work/Professional tasks', 'Watching videos/Movies']",Never,Sometimes,Always,Sometimes,Somewhat comfortable,Moderately,Often,Very poor,Average,Not sure,No,"['Self-help resources (books, articles, videos)']",Yes,['Daily check-ins/mood tracking'],Encouraging offer anonymous counseling services among Gen Z can lead to better coping mechanisms.
Under 12 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming', 'Work/Professional tasks']",Sometimes,Yes,Rarely,No,Very comfortable,Significantly,Sometimes,Very good,Very Good,Not sure,Yes,"['AI-powered chatbots', 'Other (please specify)']",Yes,"['Other (please specify)', 'Connection to professional help', 'Resources for mental health (articles, videos, etc.)']",It's important to promote mindfulness and relaxation techniques and offer mental health training programs to promote improved overall health for Gen Z.
23-27 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Rarely,Sometimes,Often,Sometimes,Very uncomfortable,A little,Often,Poor,Average,No,No,"['In-person counseling', 'Other (please specify)']",No,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support', 'Other (please specify)']",Integrating encourage regular mental health check-ups into healthcare settings can help in supporting Gen Z's mental health.
23-27 years,Female,Student,More than 6 hours,"['Studying/Educational purposes', 'Gaming']",Never,No,Often,Sometimes,Somewhat uncomfortable,Moderately,Never,Good,Poor,No,No,"['Other (please specify)', 'AI-powered chatbots']",Maybe,"['Immediate emotional support', 'Tips for managing digital device usage']",Encouraging increase funding for mental health research among Gen Z can lead to better mental health outcomes.
12-17 years,Female,Student,4-6 hours,"['Gaming', 'Watching videos/Movies', 'Work/Professional tasks']",Sometimes,Yes,Rarely,No,Somewhat uncomfortable,Not at all,Sometimes,Very good,Average,Yes,Yes,"['Support groups', 'In-person counseling']",Yes,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",Integrating encourage open discussions about mental health into online platforms can help in supporting Gen Z's mental health.
17-23 years,Male,Employed,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Gaming']",Never,Yes,Sometimes,Sometimes,Very comfortable,A lot,Always,Average,Average,No,No,['Support groups'],No,"['Immediate emotional support', 'Daily check-ins/mood tracking']","By reduce the stigma associated with seeking mental health help, we can support and more resilient mental health."
17-23 years,Female,Student,4-6 hours,['Studying/Educational purposes'],Sometimes,No,Sometimes,No,Somewhat comfortable,A little,Never,Good,Average,Not sure,No,['In-person counseling'],No,"['Other (please specify)', 'Connection to professional help', 'Tips for managing digital device usage']",Supporting Gen Z's mental health requires encourage employers to provide mental health support and develop mental health apps and tools.
Under 12 years,Female,Student,More than 6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Often,Yes,Rarely,No,Very comfortable,Not at all,Sometimes,Good,Very Good,Yes,Yes,"['In-person counseling', 'Self-help resources (books, articles, videos)']",No,['Connection to professional help'],Fostering provide mental health training for teachers and parents and promote mental health through social media can lead to improved access to support.
27 years and above,Male,Employed,More than 6 hours,"['Studying/Educational purposes', 'Gaming']",Often,Sometimes,Often,Yes,Very comfortable,A little,Always,Average,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)']",Yes,"['Daily check-ins/mood tracking', 'Other (please specify)']",Integrating integrate mental health education into the school curriculum into educational institutions can help in supporting Gen Z's mental health.
Under 12 years,Male,Student,More than 6 hours,['Work/Professional tasks'],Never,Yes,Never,No,Somewhat uncomfortable,A little,Rarely,Very good,Very Good,No,Yes,['Other (please specify)'],Maybe,"['Resources for mental health (articles, videos, etc.)']",Providing hotlines and support groups and mental health hotlines can significantly improve mental health for Gen Z.
23-27 years,Male,Employed,More than 6 hours,['Work/Professional tasks'],Never,Sometimes,Sometimes,No,Somewhat uncomfortable,A little,Sometimes,Poor,Good,No,Yes,"['Self-help resources (books, articles, videos)']",Maybe,"['Daily check-ins/mood tracking', 'Connection to professional help', 'Immediate emotional support']",Fostering increase funding for mental health research and offer regular mental health workshops can lead to more resilient mental health.
23-27 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Watching videos/Movies']",Rarely,Yes,Often,Yes,Somewhat comfortable,Moderately,Always,Average,Poor,Yes,Yes,['Online therapy sessions'],Maybe,"['Immediate emotional support', 'Other (please specify)', 'Daily check-ins/mood tracking']",improve access to online mental health resources can greatly benefit the mental health of Gen Z.
17-23 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Rarely,No,Often,Yes,Neutral,Not at all,Often,Good,Average,Not sure,Yes,['AI-powered chatbots'],No,['Connection to professional help'],"To improve mental health support for Gen Z, ensure mental health resources are culturally sensitive in healthcare settings."
12-17 years,Female,Student,2-4 hours,['Watching videos/Movies'],Sometimes,Sometimes,Rarely,No,Somewhat uncomfortable,A lot,Rarely,Very good,Good,Not sure,Yes,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",No,"['Resources for mental health (articles, videos, etc.)']",Providing mental health apps and mental health hotlines can significantly improve mental health for Gen Z.
17-23 years,Female,Student,More than 6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Always,Sometimes,Often,No,Neutral,Significantly,Often,Good,Good,No,No,['AI-powered chatbots'],No,['Connection to professional help'],We should offer anonymous counseling services to ensure Gen Z has access to self-help tools.
23-27 years,Male,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Yes,Often,No,Neutral,A lot,Often,Average,Average,Yes,Yes,"['Support groups', 'In-person counseling']",Yes,"['Immediate emotional support', 'Daily check-ins/mood tracking']",Fostering encourage physical activities and hobbies and promote mental health through social media can lead to reduced stigma.
